Comment,Designator,Footprint,LCSC,Quantity
Pico,U1,Raspberry_Pi_PicoW_SMT_THT,,1
PicoW,RP1,Raspberry_Pi_PicoW_SMT_THT,,1
LedFD0,J7,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,,1
R330,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R330,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
FD01,J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,,1
FloppyPWR,J9,PinHeader_1x04_P2.54mm_Horizontal,,1
R330,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
74LVC245,U2,DIP-20_W7.62mm_Socket,,1
10k,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R330,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
R330,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
4.7K,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
HxC Connector,J1,IDC-Header_2x17_P2.54mm_Horizontal,,1
4.7K,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
4.7K,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
"FD Int/Ext (0,1/2,3)",J13,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D3,LED_D3.0mm,,1
1N5817,D1,D_DO-15_P12.70mm_Horizontal,,1
FD Ext Connector,J2,IDC-Header_2x17_P2.54mm_Horizontal,,1
SW_Push,SW1,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,,1
LedFD1,J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,,1
Buzzer,BZ1,Buzzer_12x9.5RM7.6,,1
Micro_SD_Card,J11,J_SD_Card-micro_socket_A,,1
SW_Push,SW2,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,,1
FD00,J3,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,,1
LED,D2,LED_D3.0mm,,1
R330,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
